AABREKK Ingrid Bergene,Code paysNOR,Ski de fond,Sprint classique femmes
AAGAARD Mikkel,Code paysDEN,Hockey sur glace,Hommes
AALTO Antti,Code paysFIN,Saut à ski,Individuel tremplin normal hommesIndividuel grand tremplin hommesSuper team hommes
ABATANGELO Aurora,Code paysITA,Hockey sur glace,Femmes
ABDI Fayik,Code paysKSA,Ski alpin,Slalom hommesSlalom géant hommes
ABDUL-SABOOR Hakeem,Code paysUSA,Bobsleigh,À déterminer
ABEDA Shannon,Code paysERI,Ski alpin,Slalom hommesSlalom géant hommes
ABSTREITER Sandra,Code paysGER,Hockey sur glace,Femmes
ACHLEITNER Lisa,Code paysAUT,Ski de fond,"Individuel 10 km libre femmesRelais 4 x 7,5 km femmes"
ADAKE Ahenaer,Code paysCHN,Patinage de vitesse,Départ groupé femmesPoursuite par équipes femmes
ADAMCZYKOVA Eva,Code paysCZE,Snowboard,Snowboard cross femmesSnowboard cross par équipes mixtes
ADAMEK Klaudia,Code paysPOL,Bobsleigh,Bob à deux femmes
ADAMOV Simon,Code paysSVK,Biathlon,20 km individuel hommes10 km sprint hommesRelais mixte 4 x 6km (H+F)
ADDAMO Justin,Code paysFRA,Hockey sur glace,Hommes
ADOLFSSON Jessica,Code paysSWE,Hockey sur glace,Femmes
AEBERHARD Mario,Code paysSUI,Bobsleigh,Bob à quatre
AERNI Luca,Code paysSUI,Ski alpin,Slalom géant hommes
AHO Sebastian,Code paysFIN,Hockey sur glace,Hommes
AHOLA Sanni,Code paysFIN,Hockey sur glace,Femmes
AHVENAINEN Akseli,Code paysFIN,Ski acrobatique,Bosses hommesBosses en parallèle hommes
AICHER Emma,Code paysGER,Ski alpin,Descente femmesSlalom femmesSlalom géant femmesSuper-G femmesCombiné alpin par équipes femmes
AIGRO Artti,Code paysEST,Saut à ski,Individuel tremplin normal hommesIndividuel grand tremplin hommesSuper team hommes
AIHARA Shiro,Code paysJPN,Ski alpin,Slalom hommes
AKAR Furkan,Code paysTUR,Patinage de vitesse sur piste courte,500 m hommes
AKIMOTO Nana,Code paysJPN,Hockey sur glace,Femmes
AKOPOVA Karina,Code paysARM,Patinage artistique,Patinage en couple
ALBRECHT Aline,Code paysSUI,Snowboard,Snowboard cross femmes
ALDER Fabienne,Code paysSUI,Ski de fond,Skiathlon 10 km + 10 km femmes
ALESSANDRIA Arnaud,Code paysMON,Ski alpin,Descente hommesSuper-G hommes
ALEV Alvar Johannes,Code paysEST,Ski de fond,Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommes50 km classique départ en ligne hommes
ALEXANDER Cameron,Code paysCAN,Ski alpin,Descente hommesSuper-G hommes
ALEXANDER Kiki,Code paysCAN,Ski alpin,Slalom femmes
ALIC Esma,Code paysBIH,Ski alpin,Slalom femmesSlalom géant femmes
ALIREZA Rakan,Code paysKSA,Ski de fond,Individuel 10 km libre hommes
ALLAN Kailey,Code paysCAN,Luge,Double femmes
ALLEGRE Nils,Code paysFRA,Ski alpin,Descente hommesSuper-G hommesCombiné alpin par équipes hommes
ALLEMAND Romain,Code paysFRA,Snowboard,Snowboard slopestyle hommesSnowboard big air hommes
ALLEYNE Nikhil,Code paysTTO,Ski alpin,Slalom hommesSlalom géant hommes
ALONSO RODRIGUEZ Ana,Code paysESP,Ski alpinisme,Sprint femmesRelais mixte
ALPHAND Estelle,Code paysSWE,Ski alpin,Slalom géant femmes
ALPHAND Nils,Code paysFRA,Ski alpin,Descente hommesSuper-G hommesCombiné alpin par équipes hommes
ALTANZUL Ariunbat,Code paysMGL,Ski alpin,Slalom hommes
AMBROSE Erin,Code paysCAN,Hockey sur glace,Femmes
AMBROSI Martina,Code paysITA,Saut à ski,Individuel tremplin normal femmesIndividuel grand tremplin femmes
AMBROSINI Filippo,Code paysITA,Patinage artistique,Patinage en coupleÉpreuve par équipes
AMBRULEVICIUS Saulius,Code paysLTU,Patinage artistique,Danse sur glace
AMIEZ Steven,Code paysFRA,Ski alpin,Slalom hommesCombiné alpin par équipes hommes
AMMOUR Adam,Code paysGER,Bobsleigh,Bob à deux hommesBob à quatre
AMMOUR Issam,Code paysGER,Bobsleigh,Bob à quatre
AMRENOVA Ayaulym,Code paysKAZ,Ski acrobatique,Bosses femmesBosses en parallèle femmes
AMUNDSEN Harald Oestberg,Code paysNOR,Ski de fond,Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommes50 km classique départ en ligne hommesSprint classique hommes
AN Tai,Code paysCHN,Bobsleigh,Bob à deux hommesBob à quatre
ANDERMANN Nicolas,Code paysAUT,Patinage de vitesse sur piste courte,500 m hommes1500 m hommes
ANDERSEN Frederik,Code paysDEN,Hockey sur glace,Hommes
ANDERSON Lucinda,Code paysUSA,Biathlon,"15 km individuel femmes7,5 km sprint femmesRelais 4 x 6 km femmes"
ANDERSON-HEIDE Taylor,Code paysUSA,Curling,Femmes
ANDERSSON Ebba,Code paysSWE,Ski de fond,"Individuel 10 km libre femmesSkiathlon 10 km + 10 km femmesRelais 4 x 7,5 km femmes50 km classique départ en ligne femmes"
ANDERSSON Linnea,Code paysSWE,Hockey sur glace,Femmes
ANDERSSON Rasmus,Code paysSWE,Hockey sur glace,Hommes
ANDEXER Anna,Code paysAUT,Biathlon,"15 km individuel femmes7,5 km sprint femmes10 km poursuite femmes12,5 km départ groupé femmesRelais 4 x 6 km femmes"
ANDO Asa,Code paysJPN,Ski alpin,Slalom femmes
ANDRASKA Anouk,Code paysSUI,Ski acrobatique,Freeski big air femmes
ANDREASSEN Milla Grosberghaugen,Code paysNOR,Ski de fond,Sprint classique femmes
ANDREUTTI Giada,Code paysITA,Bobsleigh,Bob à deux femmesMonobob femmes
ANDREWS Ruby Star,Code paysNZL,Ski acrobatique,Freeski slopestyle femmesFreeski big air femmes
ANDRIGHETTO Sven,Code paysSUI,Hockey sur glace,Hommes
ANDRYIANAVA Anastasiya,Code paysAIN,Ski acrobatique,Saut acrobatique femmes
ANDZANE Marta,Code paysLAT,Skeleton,FemmesPar équipes mixtes
ANGELIS Apostolos,Code paysGRE,Ski de fond,Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommesSprint classique hommes
ANGENEND Yannik,Code paysGER,Snowboard,Slalom géant parallèle hommes
ANGER Edvin,Code paysSWE,Ski de fond,"Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommesRelais 4 x 7,5 km hommesSprint classique hommesSprint libre par équipes hommes"
ANGUENOT Leo,Code paysFRA,Ski alpin,Slalom hommesSlalom géant hommes
ANKELE Martina,Code paysAUT,Snowboard,Slalom géant parallèle femmes
ANNEN Debora,Code paysSUI,Bobsleigh,Bob à deux femmesMonobob femmes
ANNEN Tim,Code paysSUI,Bobsleigh,Bob à deux hommesBob à quatre
ANSELMET Thibault,Code paysFRA,Ski alpinisme,Sprint hommesRelais mixte
ANTHONY Jakara,Code paysAUS,Ski acrobatique,Bosses femmesBosses en parallèle femmes
ANTOSOVA Barbora,Code paysCZE,Ski de fond,Sprint classique femmes
ANTTOLA Niko,Code paysFIN,Ski de fond,"Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommesRelais 4 x 7,5 km hommes"
APARJODE Kendija,Code paysLAT,Luge,Simple femmes
APARJODS Kristers,Code paysLAT,Luge,Simple hommesRelais par équipes
APPIAH Cynthia,Code paysCAN,Bobsleigh,Bob à deux femmesMonobob femmes
APPLEBY Edward,Code paysGBR,Patinage artistique,Épreuve par équipes
ARAI Makiko,Code paysJPN,Ski acrobatique,Ski cross femmes
ARITO Motonaga,Code paysJPN,Patinage de vitesse,1500 m hommes5000 m hommesDépart groupé hommesPoursuite par équipes hommes
ARLT Tobias,Code paysGER,Luge,Double hommesRelais par équipes
ARMAN Sebastiano,Code paysITA,Curling,Hommes
ARMBRUSTER HUMPHRIES Kaillie,Code paysUSA,Bobsleigh,Bob à deux femmesMonobob femmes
ARMIA Joel,Code paysFIN,Hockey sur glace,Hommes
ARNEKLEIV Juni,Code paysNOR,Biathlon,Relais 4 x 6 km femmes
ARNET Sina,Code paysSUI,Saut à ski,Individuel tremplin normal femmesIndividuel grand tremplin femmes
ARONSSON ELFMAN Hanna,Code paysSWE,Ski alpin,Slalom femmesSlalom géant femmes
ARTHUR Emily,Code paysAUS,Snowboard,Snowboard halfpipe femmes
ASCIC Valentina,Code paysCRO,Patinage de vitesse sur piste courte,500 m femmes1000 m femmes1500 m femmes
ASSAN Assylkhan,Code paysKAZ,Ski acrobatique,Saut acrobatique hommesSaut acrobatique par équipes mixtes
ASSELIN Olivia,Code paysCAN,Ski acrobatique,À déterminer
ASTNER Nina,Code paysAUT,Ski alpin,Slalom géant femmes
ASTRIDGE Alexander,Code paysUAE,Ski alpin,Slalom hommes
ATANASOVSKA Jana,Code paysMKD,Ski alpin,Slalom femmesSlalom géant femmes
ATKIN Zoe,Code paysGBR,Ski acrobatique,Freeski halfpipe femmes
AUCHENTALLER Hannah,Code paysITA,Biathlon,"15 km individuel femmes7,5 km sprint femmes10 km poursuite femmesRelais 4 x 6 km femmes"
AUER Florian,Code paysAUT,Skeleton,Hommes
AUJESKY Johannes,Code paysAUT,Ski acrobatique,Ski cross hommes
AURARD-BUSHEE Chloe,Code paysFRA,Hockey sur glace,Femmes
AUSTIN Taylor,Code paysCAN,Bobsleigh,Bob à deux hommesBob à quatre
AUVITU Yohann,Code paysFRA,Hockey sur glace,Hommes
AUZINA Kitija,Code paysLAT,Ski de fond,"Individuel 10 km libre femmesRelais 4 x 7,5 km femmesSprint classique femmesSprint libre par équipes femmes"
AVVAKUMOVA Ekaterina,Code paysKOR,Biathlon,"15 km individuel femmes7,5 km sprint femmes10 km poursuite femmes"
AX SWARTZ Fabian,Code paysSWE,Ski alpin,Slalom hommesSlalom géant hommes
AYMOZ Kevin,Code paysFRA,Patinage artistique,Patinage individuel hommesÉpreuve par équipes
AZHGALIYEV Abzal,Code paysKAZ,Patinage de vitesse sur piste courte,500 m hommesRelais par équipes mixtes
BABA Naoto,Code paysJPN,Ski de fond,Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommes50 km classique départ en ligne hommes
BABINSKY Stefan,Code paysAUT,Ski alpin,Descente hommesSuper-G hommesCombiné alpin par équipes hommes
BABURA Bohdan,Code paysUKR,Luge,Double hommes
BACCA GONCALVES Luis,Code paysBRA,Bobsleigh,Bob à deux hommesBob à quatre
BACHL-STAUDINGER Leonie,Code paysGER,Ski acrobatique,Ski cross femmes
BADACZ Konrad,Code paysPOL,Biathlon,"20 km individuel hommes10 km sprint hommes12,5 km poursuite hommesRelais 4 x 7,5 km hommesRelais mixte 4 x 6km (H+F)"
BAECHLER Alessia,Code paysSUI,Hockey sur glace,Femmes
BAETSCHI Flurina Neva,Code paysSUI,Snowboard,Slalom géant parallèle femmes
BAFF Josie,Code paysAUS,Snowboard,Snowboard cross femmesSnowboard cross par équipes mixtes
BAGNIS Amedeo,Code paysITA,Skeleton,HommesPar équipes mixtes
BAI Xinhui,Code paysCHN,Snowboard,Slalom géant parallèle femmes
BALCERS Rudolfs,Code paysLAT,Hockey sur glace,Hommes
BALINSKIS Uvis Janis,Code paysLAT,Hockey sur glace,Hommes
BALL Lucas,Code paysNZL,Ski acrobatique,Freeski slopestyle hommesFreeski big air hommes
BALLET BAZ Mylene,Code paysFRA,Ski acrobatique,Ski cross femmes
BALZER Leoni,Code paysSUI,Hockey sur glace,Femmes
BAN Xuefu,Code paysCHN,Snowboard,Slalom géant parallèle hommes
BANKES Charlotte,Code paysGBR,Snowboard,Snowboard cross femmesSnowboard cross par équipes mixtes
BAO Zhenyu,Code paysCHN,Luge,Simple hommesRelais par équipes
BARAN Martyna,Code paysPOL,Patinage de vitesse,500 m femmes
BARBIERI Alessandro,Code paysUSA,Snowboard,Snowboard halfpipe hommes
BARBIRATI Jade,Code paysFRA,Hockey sur glace,Femmes
BARCLAY Ben,Code paysNZL,Ski acrobatique,Freeski slopestyle hommesFreeski big air hommes
BAREFOOT Daniel,Code paysUSA,Skeleton,HommesPar équipes mixtes
BARNES Cayla,Code paysUSA,Hockey sur glace,Femmes
BARP Elia,Code paysITA,Ski de fond,"Skiathlon 10 km + 10 km hommesRelais 4 x 7,5 km hommes50 km classique départ en ligne hommesSprint classique hommesSprint libre par équipes hommes"
BARTALIS Henrietta,Code paysROU,Snowboard,Snowboard cross femmes
BARTSCH Anne,Code paysGER,Hockey sur glace,Femmes
BARUZZI FARRIOL Francesca,Code paysARG,Ski alpin,Slalom femmesSlalom géant femmesSuper-G femmesCombiné alpin par équipes femmes
BASERGA Amy,Code paysSUI,Biathlon,"15 km individuel femmes7,5 km sprint femmes10 km poursuite femmes12,5 km départ groupé femmesRelais 4 x 6 km femmesRelais mixte 4 x 6km (H+F)"
BASHA Faiz Basha Munwar,Code paysSGP,Ski alpin,Slalom hommesSlalom géant hommes
BASHMAKOV Nail,Code paysKAZ,Ski de fond,Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommes50 km classique départ en ligne hommesSprint classique hommesSprint libre par équipes hommes
