nom,role,sport,genre
alexandre boyon,commentateur,biathlon,H
marie dorin,consultant,biathlon,F
frederic jean,consultant,biathlon,H
david mallarme,commentateur,combine nordique,H
arnaud matteoli,commentateur,combine nordique,H
fabrice guy,consultant,combine nordique,H
maurice magnificat,consultant,combine nordique,H
david mallarme,commentateur,saut à ski,H
fabrice guy,consultant,saut à ski,H
arnaud matteoli,commentateur,ski de fond,H
maurice magnificat,consultant,ski de fond,H
marie-christelle maury,commentateur,patinage artistique,F
nathalie pechalat,consultant,partinage artistique,F
annick dumont,consultant,patinage artistique,F
jeanne meyer,commentateur,bobsleigh,F
bruno thomas,consultant,bobsleigh,H
jeanne meyer,commentateur,luge,F
bruno thomas,consultant,luge,H
jeanne meyer,commentateur,skeleton,F
bruno thomas,consultant,skeleton,H
rodolphe gaudin,commentateur,curling,H
pauline jeanneret,consultant,curling,F
wilfrid coutot,consultant,curling,H
emmanuel roux,commentateur,hockey,H
josselin debraux,commentateur,hockey,H
laurent meunier,consultant,hockey,H
christine duchamp,consultant,hockey,F
benoit durand,commentateur,patinage de vitesse,H
benjamin mace,consultant,patinage de vitesse,H
benoit durand,commentateur,short track,H
tifany huot marchand,consultant,short track,F
christian choupin,commentateur,ski acrobatique,H
claire vocquier ficot,commentateur,ski acrobatique,F
enak gavaggio,consultant,ski acrobatique,H
marie martinod,consultant,ski acrobatique,F
guilbaut colas,consultant,ski acrobatique,H
alexandre pasteur,commentateur,ski alpin,H
luc alphand,consultant,ski alpin,H
carole montillet,consultant,ski alpin,F
christian choupin,commentateur,snowboard,H
mathieu crepel,consultant,"snowboard - slopestyle, half pipe, big air)",H
pierre vaultier,consultant,"snowboard - slalom geant, boardercross, half pipe)",H
alexandre pasteur,commentateur,ski alpinisme,H
laetitia roux,consultant,ski alpinisme,F
